property_code,correct_cash_account,all_cash_codes
edge-normalized,1110-4909,"1110-4909, 1110-4951"
epcpss,1100-0001,"1100-0001, 1110-1528, 1110-4952, 1200-0003, 1300-0000, 1350-0001, 1410-0000, 1500-0000, 1500-0001, 1500-0010"
ephss,1110-4328,"1110-4328, 1110-4329, 1110-4977, 1200-0005, 1300-0000, 1350-0001, 1410-0000, 1500-0000, 1500-0001, 1500-0026"
ssrock01,1110-4943,"1110-4943, 1110-4958, 1200-0003, 1200-0005, 1350-0001, 1410-0000, 1500-0040, 1500-0045, 1500-0046, 1600-0005"
epmss,1110-4909,"1110-4909, 1110-4951, 1200-0003, 1200-0005, 1300-0000, 1350-0001, 1350-9000, 1410-0000, 1500-0000, 1500-0010"
munster,1110-4926,"1110-4926, 1110-4927, 1200-0003, 1300-0000, 1350-0001, 1401-0004, 1410-0000, 1500-0000, 1500-0026, 1500-0040"
2201,1110-1553,"1110-1553, 1110-1555, 1131-0000, 1200-0001, 1200-0004, 1200-0009, 1300-0000, 1350-0001, 1350-9000, 1401-0004"
cpwest,1110-4947,"1110-4947, 1110-4957, 1200-0003, 1200-0005, 1200-0006, 1200-0008, 1300-0000, 1350-0001, 1410-0000, 1500-0000"
pshores,1110-4918,"1110-4918, 1110-4972, 1200-0003, 1200-0005, 1300-0000, 1350-0001, 1350-9000, 1410-0000, 1500-0000, 1500-0010"
ssbristo,1110-4982,"1110-4982, 1110-4987, 1300-0000, 1350-0001, 1410-0000, 1500-0000, 1500-0026, 1500-0040, 1500-0050, 1500-0051"
sslaport,1110-4990,"1110-4990, 1110-4992, 1300-0000, 1350-0001, 1410-0000, 1500-0010, 1500-0040, 1770-0000, 1770-0001, 2110-0000"
sslexing,1110-4976,"1110-4976, 1110-4980, 1200-0005, 1300-0000, 1350-0001, 1401-1000, 1410-0000, 1500-0000, 1500-0040, 1500-0050"
ssmelbou,1110-4975,"1110-4975, 1110-4981, 1200-0005, 1300-0000, 1350-0001, 1350-9000, 1410-0000, 1500-0000, 1500-0040, 1500-0050"
ssmicity,1110-4938,"1110-4938, 1110-4942, 1131-0000, 1200-0003, 1200-0005, 1300-0000, 1350-0001, 1350-9000, 1410-0000, 1500-0000"
sssilspr,1110-4939,"1110-4939, 1110-4946, 1131-0000, 1200-0003, 1300-0000, 1350-0001, 1350-9000, 1410-0000, 1500-0000, 1500-0015"
sswildwo,1110-4954,"1110-4954, 1110-4955, 1200-0001, 1200-0003, 1200-0005, 1200-0010, 1300-0000, 1350-0001, 1350-0002, 1410-0000"
1288rick,1110-1524,"1110-1524, 1110-1526, 1200-0003, 1300-0000, 1350-0001, 1401-0003, 1410-0000, 1500-0010, 1500-0017, 1500-0037"
1401,1110-1523,"1110-1523, 1110-2469, 1200-0003, 1300-0000, 1350-0001, 1401-0003, 1410-0000, 1500-0001, 1500-0010, 1500-0015"
314,1110-1534,"1110-1534, 1200-0003, 1200-0005, 1200-0010, 1300-0000, 1401-0003, 1410-0000, 1500-0010, 1500-0017, 1500-0020"
4700,1110-4700,"1110-4700, 1200-0001, 1200-0003, 1200-0004, 1300-0000, 1350-0001, 1410-0000, 1500-0000, 1500-0001, 1500-0010"
5301,1110-1669,"1110-1669, 1200-0003, 1300-0000, 1350-0001, 1410-0000, 1410-0001, 1500-0000, 1500-0001, 1500-0005, 1500-0010"
ephss2,1110-4329,"1110-4329, 1110-4901, 1110-4948, 1110-4979, 1200-0003, 1200-0005, 1300-0000, 1350-0001, 1350-9000, 1410-0000"
sms-cary,1110-4971,"1110-4971, 1300-0000, 1350-0001, 1410-0000, 1500-0010, 1500-0040, 1770-0000, 1770-0001, 2110-0000, 2150-0020"
sms-crys,1110-4974,"1110-4974, 1300-0000, 1350-0001, 1401-1000, 1600-0013, 1910-0001, 2110-0000, 2150-0020, 2200-0000, 2210-0000"
sms-nfss,1110-4983,"1110-4983, 1300-0000, 2110-0000, 2150-0020, 2150-0022, 2200-0000, 2210-0000, 2305-0000, 2310-0000, 2640-0998"
smsaltoo,1110-4985,"1110-4985, 1200-0005, 1300-0000, 1350-0001, 1600-0013, 1600-0036, 2110-0000, 2150-0020, 2150-0022, 2200-0000"
smslawnd,1110-4986,"1110-4986, 1300-0000, 1350-0001, 1600-0036, 2150-0022, 2200-0000, 2210-0000, 2250-0000, 2305-0000, 2310-0000"
sscandle,1110-4960,"1110-4960, 1110-4970, 1200-0005, 1300-0000, 1350-0001, 1410-0000, 1500-0000, 1500-0017, 1500-0031, 1500-0050"
sscedarl,1110-4973,"1110-4973, 1200-0003, 1200-0005, 1300-0000, 1350-0001, 1410-0000, 1500-0000, 1500-0040, 1500-0050, 1500-0085"
sschgr,1110-4967,"1110-4967, 1110-4968, 1110-5200, 1200-0005, 1300-0000, 1350-0001, 1410-0000, 1500-0000, 1500-0040, 1500-0050"
ssdowven,1110-4963,"1110-4963, 1110-4964, 1110-4965, 1110-4984, 1200-0001, 1200-0003, 1200-0004, 1200-0005, 1200-0010, 1300-0000"
sselkhar,1110-4991,"1110-4991, 2200-0000, 2640-0998, 6050-0025, 6110-1050, 7000-0026, 7000-0054, 7200-0002, 7200-0020, 7310-0005"
ssmadiso,1100-0001,"1100-0001, 1110-4988, 1200-0001, 1200-0010, 1300-0000, 1410-0000, 1500-0010, 1500-0040, 1600-0035, 1770-0000"
ssmsouth,1110-4948,"1110-4948, 1200-0005, 1300-0000, 1350-0001, 1410-0000, 1500-0000, 1500-0010, 1500-0040, 1500-0050, 1500-0051"
sspbay,1110-4944,"1110-4944, 1110-4949, 1200-0003, 1200-0005, 1300-0000, 1350-0001, 1350-9000, 1410-0000, 1500-0026, 1500-0040"
ssracine,1110-4989,"1110-4989, 1300-0000, 1350-0001, 1410-0000, 1500-0010, 1500-0040, 1770-0000, 1770-0001, 2110-0000, 2150-0020"
ssvenice,1110-4923,"1110-4923, 1110-4924, 1110-4966, 1200-0003, 1200-0005, 1300-0000, 1350-0001, 1410-0000, 1500-0005, 1500-0010"
