property_code,property_name,pdf_property
cpwest,Crown Point West,StorSafe of Crown Point West
ssmicity,Michigan City; MI City,StorSafe of Michigan City
ssmsouth,Merrillville South,StorSafe of Merrillville South
sssilspr,Silver Springs,StorSafe of Silver Springs
sswildwo,Wildwood,StorSafe of Wildwood
sspbay,Palm Bay,StorSafe of Palm Bay
ssrock01,Rockledge,
sslexing,Lexington,StorSafe of Lexington
sscandle,Candler,StorSafe of Candler
sscedarl,Cedar Lake,StorSafe of Cedar Lake
sschgr,China Grove,StorSafe of China Grove
ssdowven,Downtown Venice,StorSafe of Downtown Venice
epcpss,Crown Point; CPSS,StorSafe of Crown Point
ephss,Huntley North; HSS,StorSafe of Huntley North
ephss2,Huntley South; HSS 2,StorSafe of Huntley South
epmss,Merrillville; MSS,StorSafe of Merrillville
2201,Pilsen; 2201 S Halsted,
pshores,Palm Shores,StorSafe of Palm Shores
ssbristo,Bristol,StorSafe of Bristol
ssmadiso,Madison,StorSafe of Madison
ssmelbou,Melbourne,StorSafe of Melbourne
ssvenice,Venice,StorSafe of Venice
ssracine,Racine,StorSafe of Racine
sslaport,La Porte,StorSafe of La Porte
sms-cary,Cary,StorSafe of Cary
sms-crys,Crystal Lake; CLK,StorSafe of Crystal Lake
sms-nfss,Northfield,StorSafe of Northfield
smsaltoo,Altoona,StorSafe of Altoona
smslawnd,Lawndale,StorSafe of Lawndale
4700,Darlington; 4700 N Racine,
314,314 WIP,
1401,Plaza Verde,
1288rick,Naperville; 1288 Rickert,
5301,Dempster,
sselkhar,Elkhart,StorSafe of Elkhart
munster,Munster,StorSafe of Munster
