property_name,yardi_entity
# Auto-filled from property_code_mapping.csv (pdf_property -> property_code)
# Edit yardi_entity values if Yardi uses different entity IDs
StorSafe of Altoona,smsaltoo
StorSafe of Bristol,ssbristo
StorSafe of Candler,sscandle
StorSafe of Cary,sms-cary
StorSafe of Cedar Lake,sscedarl
StorSafe of China Grove,sschgr
StorSafe of Crown Point,epcpss
StorSafe of Crown Point West,cpwest
StorSafe of Crystal Lake,sms-crys
StorSafe of Downtown Venice,ssdowven
StorSafe of Elkhart,sselkhar
StorSafe of Huntley North,ephss
StorSafe of Huntley South,ephss2
StorSafe of La Porte,sslaport
StorSafe of Lawndale,smslawnd
StorSafe of Lexington,sslexing
StorSafe of Madison,ssmadiso
StorSafe of Melbourne,ssmelbou
StorSafe of Merrillville,epmss
StorSafe of Merrillville South,ssmsouth
StorSafe of Michigan City,ssmicity
StorSafe of Munster,munster
StorSafe of Northfield,sms-nfss
StorSafe of Palm Bay,sspbay
StorSafe of Palm Shores,pshores
StorSafe of Racine,ssracine
StorSafe of Silver Springs,sssilspr
StorSafe of Venice,ssvenice
StorSafe of Wildwood,sswildwo
