Account_Number,Account_Name,Property_Code,Account_Base_Name,Account_Sub_Detail,Total_Balance,Is_Accumulated,Target_Account_Name,Target_Account_Code,Action,Notes
1100-0001,Cash Reserve,nan,Cash Reserve,nan,1661192.28,False,Corporate Cash Reserve,CR,keep,Cash reserve account
1110-1003,5301 Dempster FNBC Checking,5301,Dempster FNBC Checking,nan,-43216.08,False,5301 Operating Cash,5301_OP_CASH,merge,Merge into 5301 Operating Cash
1110-1516,EP SEF III PV,nan,EP SEF III PV,nan,-1219205.3,False,Corporate Operating Cash,COC,keep,General operating cash account
1110-1523,1307 Amalgamated Checking,1307,Amalgamated Checking,nan,-40.0,False,1307 Operating Cash,1307_OP_CASH,merge,Merge into 1307 Operating Cash
1110-1524,1288 Old National Bank,1288,Old National Bank,nan,228565.24,False,1288 Operating Cash,1288_OP_CASH,merge,Merge into 1288 Operating Cash
1110-1526,1288 Reserve Old National Bank,1288,Reserve,Old National Bank,2.0,False,1288 Cash Reserve,1288_CR,keep,Reserve account for 1288
1110-1528,EP CPSS PROVIDENCE,nan,EP CPSS PROVIDENCE,nan,-11539.96,False,Corporate Operating Cash,COC,keep,General operating cash account
1110-1534,314 WIP FBHP,314,WIP,FBHP,32139.78,False,314 Operating Cash,314_OP_CASH,keep,Operating cash for property 314
1110-1553,2201 Amal Checking,2201,Amal Checking,nan,111034.58,False,2201 Operating Cash,2201_OP_CASH,keep,Operating cash for property 2201
1110-1555,2201Chase,2201,Chase,nan,10993.86,False,2201 Operating Cash,2201_OP_CASH,merge,Merge into 2201 Operating Cash
1110-1669,5301 Dempster Amal Checking,5301,Dempster Amal Checking,nan,3358.8,False,5301 Operating Cash,5301_OP_CASH,merge,Merge into 5301 Operating Cash
1110-2469,1401 Plaza Verde Amalgamated Checking,1401,Plaza Verde Amalgamated Checking,nan,149684.14,False,1401 Operating Cash,1401_OP_CASH,keep,Operating cash for property 1401
1110-4328,EP HSS FBHP,nan,EP HSS,FBHP,-46765.9,False,Corporate Operating Cash,COC,keep,General operating cash account
1110-4329,EP HSS Chase,nan,EP HSS,Chase,-172039.38,False,Corporate Operating Cash,COC,merge,Merge into Corporate Operating Cash
1110-4700,4700 Racine FBHP,4700,Racine,FBHP,50130.08,False,4700 Operating Cash,4700_OP_CASH,keep,Operating cash for property 4700
1110-4901,EP HSS 2 Chase,nan,EP HSS 2,Chase,-19024.2,False,Corporate Operating Cash,COC,merge,Merge into Corporate Operating Cash
