Account_Number,Account_Name,Property_Code,Account_Base_Name,Account_Sub_Detail,Total_Balance,Is_Accumulated,Target_Account_Name,Target_Account_Code,Action,Notes
1100-0001,Cash Reserve,nan,Cash Reserve,nan,1661192.28,False,Corporate Cash Reserve,CR-001,keep,Standardized naming for cash reserve account.
1110-1003,5301 Dempster FNBC Checking,5301,Dempster FNBC Checking,nan,-43216.08,False,5301 Operating Cash,5301-OPC,keep,Primary operating cash account for property 5301.
1110-1516,EP SEF III PV,nan,EP SEF III PV,nan,-1219205.3,False,Corporate Cash,CORP-CASH,keep,General corporate cash account.
1110-1523,1307 Amalgamated Checking,1307,Amalgamated Checking,nan,-40.0,False,1307 Operating Cash,1307-OPC,merge,Merge into 5301 Operating Cash.
1110-1524,1288 Old National Bank,1288,Old National Bank,nan,228565.24,False,1288 Operating Cash,1288-OPC,merge,Merge into 5301 Operating Cash.
1110-1526,1288 Reserve Old National Bank,1288,Reserve,Old National Bank,2.0,False,1288 Cash Reserve,1288-RES,keep,Reserve account for property 1288.
1110-1528,EP CPSS PROVIDENCE,nan,EP CPSS PROVIDENCE,nan,-11539.96,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-1534,314 WIP FBHP,314,WIP,FBHP,32139.78,False,314 Operating Cash,314-OPC,keep,Operating cash account for property 314.
1110-1553,2201 Amal Checking,2201,Amal Checking,nan,111034.58,False,2201 Operating Cash,2201-OPC,keep,Operating cash account for property 2201.
1110-1555,2201Chase,2201,Chase,nan,10993.86,False,2201 Operating Cash,2201-OPC,merge,Merge into 2201 Operating Cash.
1110-1669,5301 Dempster Amal Checking,5301,Dempster Amal Checking,nan,3358.8,False,5301 Operating Cash,5301-OPC,merge,Merge into 5301 Operating Cash.
1110-2469,1401 Plaza Verde Amalgamated Checking,1401,Plaza Verde Amalgamated Checking,nan,149684.14,False,1401 Operating Cash,1401-OPC,keep,Operating cash account for property 1401.
1110-4328,EP HSS FBHP,nan,EP HSS,FBHP,-46765.9,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4329,EP HSS Chase,nan,EP HSS,Chase,-172039.38,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4700,4700 Racine FBHP,4700,Racine,FBHP,50130.08,False,4700 Operating Cash,4700-OPC,keep,Operating cash account for property 4700.
1110-4901,EP HSS 2 Chase,nan,EP HSS 2,Chase,-19024.2,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4909,EP MSS 1st Merchants,nan,EP MSS 1st Merchants,nan,57617.96,False,Corporate Cash,CORP-CASH,keep,General corporate cash account.
1110-4918,SS Palm Shores Chase,nan,SS Palm Shores,Chase,-2112.94,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4923,SS Venice Amalgamated,nan,SS Venice Amalgamated,nan,-29999.32,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4924,SS Venice Chase,nan,SS Venice,Chase,-10373.36,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4926,SS of Munster Amalgamated,nan,SS of Munster Amalgamated,nan,-58373.68,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4927,SS of Munster Chase,nan,SS of Munster,Chase,-7715.12,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4938,SS of MI City Chase,nan,SS of MI City,Chase,-12208.18,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4939,SS of Silver Springs Chase,nan,SS of Silver Springs,Chase,-2149.1,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4940,SS DRE JV MetCap,nan,SS DRE JV,MetCap,4889.18,False,Corporate Cash,CORP-CASH,keep,General corporate cash account.
1110-4942,SS of MI City Amalgamated,nan,SS of MI City Amalgamated,nan,163.08,False,Corporate Cash,CORP-CASH,merge,Merge into Corporate Cash.
1110-4943,Rockledge Key Bank,nan,Rockledge,Key Bank,225364.68,False,Rockledge Operating Cash,1110-4943,keep,Primary account for Rockledge
1110-4944,Palm Bay Key Bank,nan,Palm Bay,Key Bank,-16804.6,False,Palm Bay Operating Cash,1110-4944,keep,Primary account for Palm Bay
1110-4946,Silver Springs Equitable Bank,nan,Silver Springs,Equitable Bank,124.0,False,Silver Springs Operating Cash,1110-4946,keep,Primary account for Silver Springs
1110-4947,Crown Point West Chase,nan,Crown Point West,Chase,20314.52,False,Crown Point West Operating Cash,1110-4947,keep,Primary account for Crown Point West
1110-4948,Merrillville South Chase,nan,Merrillville South,Chase,-39625.26,False,Merrillville South Operating Cash,1110-4948,keep,Primary account for Merrillville South
1110-4949,SS of Palm Bay Busey Bank,nan,SS of Palm Bay,Busey Bank,1202.5,False,SS of Palm Bay Operating Cash,1110-4949,keep,Primary account for SS of Palm Bay
1110-4951,MSS Chase,nan,MSS,Chase,1264.28,False,MSS Operating Cash,1110-4951,keep,Primary account for MSS
1110-4952,CPSS Chase,nan,CPSS,Chase,-5737.56,False,CPSS Operating Cash,1110-4952,keep,Primary account for CPSS
1110-4954,SSWwd Chase,nan,SSWwd,Chase,-25406.0,False,SSWwd Operating Cash,1110-4954,keep,Primary account for SSWwd
1110-4955,SSWwd Busey,nan,SSWwd,Busey,172208.88,False,SSWwd Operating Cash,1110-4954,merge,Merge into SSWwd Operating Cash
1110-4957,Crown Point West Centier Operating,nan,Crown Point West,Centier Operating,-49026.86,False,Crown Point West Operating Cash,1110-4947,merge,Merge into Crown Point West Operating Cash
1110-4958,Rockledge Centier Money Market,nan,Rockledge,Centier Money Market,20086.72,False,Rockledge Money Market Cash,1110-4958,keep,Primary account for Rockledge Money Market
1110-4959,MSSSouth Amal,nan,MSSSouth Amal,nan,27803.14,False,MSSSouth Operating Cash,1110-4959,keep,Primary account for MSSSouth
1110-4960,Candler Chase,nan,Candler,Chase,-237.88,False,Candler Operating Cash,1110-4960,keep,Primary account for Candler
1110-4961,Storsafe DRE JV 2 MetCap,nan,Storsafe DRE JV 2,MetCap,5502.84,False,Storsafe DRE JV 2 Operating Cash,1110-4961,keep,Primary account for Storsafe DRE JV 2
1110-4963,SS Downtown Venice Busey,nan,SS Downtown Venice,Busey,6159.04,False,SS Downtown Venice Operating Cash,1110-4963,keep,Primary account for SS Downtown Venice
1110-4964,SS Downtown Venice UHaul Busey,nan,SS Downtown Venice UHaul,Busey,516.04,False,SS Downtown Venice UHaul Operating Cash,1110-4964,keep,Primary account for SS Downtown Venice UHaul
1110-4965,SS of Downtown Venice Chase,nan,SS of Downtown Venice,Chase,-25555.66,False,SS of Downtown Venice Operating Cash,1110-4965,keep,Primary account for SS of Downtown Venice
1110-4966,SS of Venice UHaul Amalgamated,nan,SS of Venice UHaul Amalgamated,nan,930.72,False,SS of Venice UHaul Operating Cash,1110-4966,keep,Primary account for SS of Venice UHaul
1110-4967,SS of China Grove Chase,nan,SS of China Grove,Chase,-7978.4,False,SS of China Grove Operating Cash,1110-4967,keep,Primary account for SS of China Grove
1110-4968,SS of China Grove Pan American,nan,SS of China Grove,Pan American,-33896.4,False,SS of China Grove Operating Cash,1110-4967,merge,Merge into SS of China Grove Operating Cash
1110-4969,EP 2201 Amal Tax & Insurance,nan,EP 2201 Amal Tax & Insurance,nan,1277.28,False,EP 2201 Tax & Insurance Cash,1110-4969,keep,Primary account for EP 2201
1110-4970,SS Candler Tax & Ins Chase,nan,SS Candler Tax & Ins,Chase,-27067.32,False,SS Candler Tax & Insurance Operating Cash,1110-4970,keep,Primary account for SS Candler
1110-4971,Storsafe Management Solutions - Cary,nan,Storsafe Management Solutions,Cary,48037.34,False,Storsafe Management Solutions - Cary Operating Cash,1110-4971,keep,Primary account for Storsafe Management Solutions
1110-4972,SS of Palm Shores PanAm,nan,SS of Palm Shores,PanAm,-172272.46,False,SS of Palm Shores Operating Cash,1110-4972,keep,Primary account for SS of Palm Shores
1110-4973,SS of Cedar Lake Centier,nan,SS of Cedar Lake,Centier,-3550.86,False,Corporate Cash,1110-4973,keep,Standardized naming for cash account.
1110-4974,Storsafe Management Solutions - Crystal Lake,nan,Storsafe Management Solutions,Crystal Lake,40232.38,False,Corporate Cash,1110-4974,keep,Standardized naming for cash account.
1110-4975,SS of Melbourne Chase,nan,SS of Melbourne,Chase,-65305.86,False,Corporate Cash,1110-4975,keep,Standardized naming for cash account.
1110-4976,SS of Lexington Choice Bank,nan,SS of Lexington Choice Bank,nan,-15258.06,False,Corporate Cash,1110-4976,keep,Standardized naming for cash account.
1110-4977,EP HSS Pan American,nan,EP HSS,Pan American,8393.68,False,Corporate Cash,1110-4977,keep,Standardized naming for cash account.
1110-4979,EP HSS 2 Pan American,nan,EP HSS 2,Pan American,2215.14,False,Corporate Cash,1110-4979,keep,Standardized naming for cash account.
1110-4980,Lexington Chase,nan,Lexington,Chase,669.64,False,Corporate Cash,1110-4980,keep,Standardized naming for cash account.
1110-4981,Melbourne Cypress,nan,Melbourne Cypress,nan,-53645.56,False,Corporate Cash,1110-4981,keep,Standardized naming for cash account.
1110-4982,Bristol Choice,nan,Bristol Choice,nan,24455.92,False,Corporate Cash,1110-4982,keep,Standardized naming for cash account.
1110-4983,SMS NFSS Chase,nan,SMS NFSS,Chase,11121.02,False,Corporate Cash,1110-4983,keep,Standardized naming for cash account.
1110-4984,Downtown Venice Pan American,nan,Downtown Venice,Pan American,2484.08,False,Corporate Cash,1110-4984,keep,Standardized naming for cash account.
1110-4985,SMS-Altoona Chase,nan,SMS-Altoona,Chase,7481.52,False,Corporate Cash,1110-4985,keep,Standardized naming for cash account.
1110-4986,SMS-Lawndale Chase,nan,SMS-Lawndale,Chase,-10321.38,False,Corporate Cash,1110-4986,keep,Standardized naming for cash account.
1110-4987,Bristol Chase,nan,Bristol,Chase,203329.08,False,Corporate Cash,1110-4987,keep,Standardized naming for cash account.
1110-4988,SS of Madison Notre Dame operating,nan,SS of Madison Notre Dame operating,nan,-10865.28,False,Corporate Cash,1110-4988,keep,Standardized naming for cash account.
1110-4989,SS of Racine Forte,nan,SS of Racine,Forte,31421.7,False,Corporate Cash,1110-4989,keep,Standardized naming for cash account.
